OBJECT_ID,Population
1,"39,144,818"
2,"27,469,114"
4,"20,271,272"
3,"19,795,791"
5,"12,859,995"
6,"12,802,503"
7,"11,613,423"
9,"10,214,860"
10,"10,042,802"
8,"9,922,576"
11,"8,958,013"
12,"8,382,993"
13,"7,170,351"
16,"6,828,065"
14,"6,794,422"
15,"6,619,680"
17,"6,600,299"
18,"6,083,672"
19,"6,006,401"
20,"5,771,337"
21,"5,489,594"
22,"5,456,574"
24,"4,896,146"
23,"4,858,979"
25,"4,670,724"
26,"4,425,092"
27,"4,028,977"
28,"3,911,338"
30,"3,590,886"
29,"3,474,182"
31,"3,123,899"
35,"2,995,919"
32,"2,992,333"
33,"2,978,204"
34,"2,911,641"
36,"2,890,845"
37,"2,085,109"
39,"1,896,190"
38,"1,844,128"
40,"1,654,930"
41,"1,431,603"
43,"1,330,608"
42,"1,329,328"
44,"1,056,298"
45,"1,032,949"
46,"945,934"
47,"858,469"
49,"756,927"
48,"738,432"
51,"672,228"
50,"626,042"
52,"586,107"
53,"161,785"
54,"103,574"
55,"54,343"
56,"52,344"
