OBJECT_ID,STATE,Population
1,Alabama,4858979.00
4,Arizona,6828065.00
5,Arkansas,2978204.00
6,California,39144818.00
8,Colorado,5456574.00
9,Connecticut,3590886.00
10,Delaware,945934.00
11,District of Columbia,672228.00
12,Florida,20271272.00
13,Georgia,10214860.00
16,Idaho,1654930.00
17,Illinois,12859995.00
18,Indiana,6619680.00
19,Iowa,3123899.00
20,Kansas,2911641.00
21,Kentucky,4425092.00
22,Louisiana,4670724.00
23,Maine,1329328.00
24,Maryland,6006401.00
25,Massachusetts,6794422.00
26,Michigan,9922576.00
27,Minnesota,5489594.00
28,Mississippi,2992333.00
29,Missouri,6083672.00
30,Montana,1032949.00
31,Nebraska,1896190.00
32,Nevada,2890845.00
33,New Hampshire,1330608.00
34,New Jersey,8958013.00
35,New Mexico,2085109.00
36,New York,19795791.00
37,North Carolina,10042802.00
38,North Dakota,756927.00
39,Ohio,11613423.00
40,Oklahoma,3911338.00
41,Oregon,4028977.00
42,Pennsylvania,12802503.00
44,Rhode Island,1056298.00
45,South Carolina,4896146.00
46,South Dakota,858469.00
47,Tennessee,6600299.00
48,Texas,27469114.00
49,Utah,2995919.00
50,Vermont,626042.00
51,Virginia,8382993.00
53,Washington,7170351.00
54,West Virginia,1844128.00
55,Wisconsin,5771337.00
56,Wyoming,586107.00
